# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LRRIQ1	ENSECAG00000007701	ENSECAT00000050564	protein_coding	1	2	213	0	0	3	201	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000054760	protein_coding	1	2	213	0	0	3	201	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000058693	protein_coding	1	2	231	1	0	2	219	2	0	0	1	9
METTL25	ENSECAG00000010894	ENSECAT00000011332	protein_coding	0	0	190	0	0	11	171	0	0	0	0	8
METTL25	ENSECAG00000010894	ENSECAT00000035528	protein_coding	0	1	180	0	0	3	169	1	0	0	0	8
METTL25	ENSECAG00000010894	ENSECAT00000036299	protein_coding	1	0	178	0	0	3	167	0	0	0	1	8
METTL25	ENSECAG00000010894	ENSECAT00000078035	protein_coding	0	1	180	0	0	3	169	1	0	0	0	8
MGAT4C	ENSECAG00000011971	ENSECAT00000055260	protein_coding	2	1	206	0	0	25	159	1	0	0	2	22
MYF5	ENSECAG00000020047	ENSECAT00000021416	protein_coding	0	1	17	0	0	8	3	1	0	0	0	6
MYF6	ENSECAG00000018919	ENSECAT00000020121	protein_coding	1	0	14	0	0	7	2	0	0	1	0	6
NTS	ENSECAG00000010879	ENSECAT00000011287	protein_coding	1	0	100	0	0	2	73	0	0	0	1	25
NTS	ENSECAG00000010879	ENSECAT00000071403	protein_coding	0	0	101	0	0	2	74	0	0	0	0	25
POC1B	ENSECAG00000013326	ENSECAT00000014152	protein_coding	0	1	147	0	0	10	131	1	0	0	0	6
PPFIA2	ENSECAG00000011682	ENSECAT00000012983	protein_coding	2	0	1047	0	0	16	1031	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000012992	protein_coding	2	0	1047	0	0	16	1031	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000032323	protein_coding	2	0	745	0	0	18	720	0	0	0	2	7
PPFIA2	ENSECAG00000011682	ENSECAT00000035392	protein_coding	2	0	1049	0	0	18	1031	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000039611	protein_coding	2	0	1037	0	0	15	1022	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000041967	protein_coding	2	0	1049	0	0	18	1031	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000058247	protein_coding	2	0	1037	0	0	15	1022	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000070071	protein_coding	2	0	1049	0	0	18	1031	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000074647	protein_coding	2	0	1049	0	0	18	1031	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000077257	protein_coding	2	0	1049	0	0	18	1031	0	0	0	2	0
PTPRQ	ENSECAG00000013221	ENSECAT00000014123	protein_coding	3	0	56	0	0	6	50	0	0	0	3	0
PTPRQ	ENSECAG00000013221	ENSECAT00000014127	protein_coding	3	0	56	0	0	6	50	0	0	0	3	0
RASSF9	ENSECAG00000002601	ENSECAT00000002434	protein_coding	0	0	71	0	0	9	49	0	0	0	0	13
SLC6A15	ENSECAG00000018897	ENSECAT00000047031	protein_coding	0	0	7	0	0	4	2	0	0	0	0	1
SLC6A15	ENSECAG00000018897	ENSECAT00000062101	protein_coding	0	0	37	0	0	7	29	0	0	0	0	1
TMTC2	ENSECAG00000014638	ENSECAT00000015432	protein_coding	1	1	783	0	0	19	757	1	0	0	1	7
TMTC2	ENSECAG00000014638	ENSECAT00000035533	protein_coding	1	0	649	0	0	19	624	0	0	0	1	6
TMTC2	ENSECAG00000014638	ENSECAT00000074756	protein_coding	1	0	428	0	1	5	415	0	0	1	1	7
TMTC3	ENSECAG00000020616	ENSECAT00000021950	protein_coding	0	0	106	0	0	2	96	0	0	0	0	8
TMTC3	ENSECAG00000020616	ENSECAT00000048144	protein_coding	0	0	105	1	0	2	94	0	0	0	0	8
TSPAN19	ENSECAG00000037294	ENSECAT00000039395	protein_coding	1	0	33	0	0	7	16	0	0	0	1	10
TSPAN19	ENSECAG00000037294	ENSECAT00000045443	protein_coding	2	0	32	0	0	5	17	0	0	0	2	10
TSPAN19	ENSECAG00000037294	ENSECAT00000052893	protein_coding	1	0	39	0	0	6	23	0	0	0	1	10
TSPAN19	ENSECAG00000037294	ENSECAT00000057878	protein_coding	1	0	72	0	0	4	58	0	0	0	1	10
U6	ENSECAG00000026764	ENSECAT00000028776	snRNA	0	0	4	0	0	2	0	0	1	0	0	1
U6	ENSECAG00000030991	ENSECAT00000027337	snRNA	0	0	13	0	0	3	0	0	0	0	0	10
