# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CEP290	CEP290	XM_023630993.1	protein_coding	2	1	180	0	0	1	8	151	1	0	0	2	20
CEP290	CEP290	XM_023630994.1	protein_coding	2	1	180	0	0	1	8	151	1	0	0	2	20
CEP290	CEP290	XM_023630995.1	protein_coding	3	0	156	0	1	2	8	136	0	0	0	2	10
CEP290	CEP290	XM_023630996.1	protein_coding	2	1	140	0	0	1	9	110	1	0	0	2	20
DUSP6	DUSP6	XM_001491999.6	protein_coding	0	0	60	2	0	3	21	8	0	0	0	0	26
GALNT4	GALNT4	XM_005606501.3	protein_coding	0	0	40	5	0	0	25	0	0	0	0	0	10
KITLG	KITLG	NM_001163962.1	protein_coding	0	0	22	0	0	0	0	7	0	0	0	0	15
KITLG	KITLG	XM_005606468.3	protein_coding	0	0	22	0	0	0	0	7	0	0	0	0	15
LIN7A	LIN7A	XM_001490031.5	protein_coding	0	0	472	5	0	3	8	420	0	0	0	0	36
LIN7A	LIN7A	XM_023631553.1	protein_coding	0	0	387	5	0	0	8	370	0	0	0	0	4
LOC102150222	LOC102150222	XM_005606497.3	protein_coding	0	0	7	0	0	0	2	0	0	0	0	0	5
LOC106782684	LOC106782684	XR_001379944.2		0	0	46	0	0	0	5	24	0	0	0	0	17
LOC106782684	LOC106782684	XR_001379945.2		0	0	46	0	0	0	5	24	0	0	0	0	17
LOC106782684	LOC106782684	XR_002804781.1		0	0	46	0	0	0	5	24	0	0	0	0	17
LOC106782684	LOC106782684	XR_002804782.1		0	0	46	0	0	0	5	24	0	0	0	0	17
LOC106782684	LOC106782684	XR_002804783.1		0	0	46	0	0	0	5	24	0	0	0	0	17
LOC106782684	LOC106782684	XR_002804784.1		0	0	46	0	0	0	5	24	0	0	0	0	17
LOC106782684	LOC106782684	XR_002804785.1		0	0	46	0	0	0	5	24	0	0	0	0	17
LOC111771013	LOC111771013	XR_002804540.1		0	0	29	0	0	0	4	10	0	0	0	0	15
LOC111771021	LOC111771021	XR_002804560.1		0	0	27	0	0	0	9	5	0	0	0	0	13
LOC111771097	LOC111771097	XR_002804748.1		0	0	52	0	0	0	6	24	0	15	0	0	7
LOC111771107	LOC111771107	XR_002804764.1		1	0	42	0	0	0	9	29	0	2	1	0	3
LOC111771110	LOC111771110	XM_023631611.1	protein_coding	0	0	101	0	0	0	4	97	0	0	0	0	0
LOC111771111	LOC111771111	XR_002804768.1		0	0	169	0	0	0	4	159	0	0	0	0	6
LOC111771112	LOC111771112	XR_002804769.1		0	0	53	0	0	0	5	34	0	6	0	0	8
LOC111771112	LOC111771112	XR_002804770.1		0	0	29	0	0	0	5	7	0	3	0	0	14
LOC111771117	LOC111771117	XR_002804777.1		0	0	354	0	0	0	6	339	0	0	0	0	9
LOC111771120	LOC111771120	XR_002804786.1		0	0	140	0	0	0	5	117	0	4	0	0	14
LOC111771139	LOC111771139	XR_002804807.1		0	0	17	0	0	0	7	0	0	0	0	0	10
LOC111771141	LOC111771141	XR_002804809.1		0	0	4	0	0	0	2	0	0	1	0	0	1
LOC111771151	LOC111771151	XR_002804818.1		0	0	21	0	0	0	10	0	0	1	0	0	10
LRRIQ1	LRRIQ1	XM_023631397.1	protein_coding	1	2	281	2	0	0	3	274	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631398.1	protein_coding	1	2	281	2	0	0	3	274	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631399.1	protein_coding	1	2	281	2	0	0	3	274	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631400.1	protein_coding	1	1	282	2	0	0	3	275	1	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631401.1	protein_coding	1	2	279	2	0	0	3	265	2	0	0	1	9
LRRIQ1	LRRIQ1	XM_023631402.1	protein_coding	1	2	283	0	0	0	5	276	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631403.1	protein_coding	1	2	283	0	0	0	5	276	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631404.1	protein_coding	1	2	278	0	0	0	2	274	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631405.1	protein_coding	1	2	251	0	0	0	1	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631406.1	protein_coding	1	2	251	0	0	0	1	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631407.1	protein_coding	1	2	281	2	0	0	3	274	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631408.1	protein_coding	1	2	283	0	0	0	5	276	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631409.1	protein_coding	1	2	281	2	0	0	3	274	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631410.1	protein_coding	1	2	281	2	0	0	3	274	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631411.1	protein_coding	1	2	251	0	0	0	1	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631412.1	protein_coding	1	2	251	0	0	0	1	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631413.1	protein_coding	1	2	251	0	0	0	1	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631414.1	protein_coding	1	2	251	0	0	0	1	248	2	0	0	1	2
METTL25	METTL25	XM_014736735.2	protein_coding	0	0	215	0	0	0	25	182	0	0	0	0	8
METTL25	METTL25	XM_023631576.1	protein_coding	0	0	215	0	0	0	25	182	0	0	0	0	8
METTL25	METTL25	XM_023631577.1	protein_coding	0	0	215	0	0	0	25	182	0	0	0	0	8
METTL25	METTL25	XM_023631578.1	protein_coding	2	0	201	0	2	5	11	172	0	0	0	0	13
METTL25	METTL25	XR_002804755.1		0	0	338	0	0	0	3	277	0	50	0	0	8
METTL25	METTL25	XR_002804756.1		0	0	338	0	0	0	3	281	0	46	0	0	8
METTL25	METTL25	XR_002804757.1		0	0	338	0	0	0	3	277	0	50	0	0	8
METTL25	METTL25	XR_002804758.1		0	0	191	0	0	0	3	180	0	0	0	0	8
MGAT4C	MGAT4C	XM_023631364.1	protein_coding	3	1	1018	1	0	1	36	979	1	0	1	2	1
MGAT4C	MGAT4C	XM_023631365.1	protein_coding	3	1	919	1	0	1	36	881	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631366.1	protein_coding	3	1	1018	1	0	0	36	980	1	0	1	2	1
MGAT4C	MGAT4C	XM_023631367.1	protein_coding	3	1	1018	1	0	0	36	980	1	0	1	2	1
MGAT4C	MGAT4C	XM_023631368.1	protein_coding	5	1	159	1	2	18	36	56	1	0	1	2	48
MGAT4C	MGAT4C	XM_023631370.1	protein_coding	5	1	159	1	2	17	36	57	1	0	1	2	48
MGAT4C	MGAT4C	XM_023631371.1	protein_coding	4	1	188	1	1	2	36	132	1	0	1	2	17
MYF5	MYF5	NM_001302119.1	protein_coding	0	1	19	0	0	0	8	3	1	0	0	0	8
MYF6	MYF6	NM_001317257.1	protein_coding	1	0	16	0	0	0	9	2	0	0	1	0	6
NTS	NTS	XM_014736736.2	protein_coding	1	0	97	0	0	0	2	72	0	0	0	1	23
POC1B	POC1B	XM_014736738.2	protein_coding	0	1	123	3	0	0	10	107	1	0	0	0	3
POC1B	POC1B	XM_023631609.1	protein_coding	0	1	170	3	0	1	10	150	1	0	0	0	6
POC1B	POC1B	XM_023631610.1	protein_coding	0	1	170	3	0	1	10	150	1	0	0	0	6
PPFIA2	PPFIA2	XM_014736734.2	protein_coding	2	0	801	0	0	3	16	770	0	0	0	2	12
PPFIA2	PPFIA2	XM_023631673.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631674.1	protein_coding	2	0	1135	1	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631675.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631676.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631677.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631678.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631679.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631680.1	protein_coding	2	0	1135	1	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631681.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631683.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631684.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631685.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631686.1	protein_coding	2	0	1135	0	0	0	16	1119	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631687.1	protein_coding	2	0	801	0	0	3	16	770	0	0	0	2	12
PPFIA2	PPFIA2	XM_023631688.1	protein_coding	2	0	801	0	0	3	16	770	0	0	0	2	12
PPFIA2	PPFIA2	XM_023631689.1	protein_coding	2	0	801	0	0	3	16	770	0	0	0	2	12
PPFIA2	PPFIA2	XM_023631690.1	protein_coding	2	0	801	0	0	3	16	770	0	0	0	2	12
PTPRQ	PTPRQ	XM_023631053.1	protein_coding	3	0	62	1	0	0	6	55	0	0	0	3	0
RASSF9	RASSF9	XM_001491284.6	protein_coding	0	0	91	8	0	0	3	53	0	0	0	0	27
RASSF9	RASSF9	XM_023631106.1	protein_coding	0	0	90	8	0	0	3	52	0	0	0	0	27
SLC6A15	SLC6A15	XM_023631172.1	protein_coding	0	0	53	2	0	0	5	46	0	0	0	0	0
SLC6A15	SLC6A15	XM_023631173.1	protein_coding	0	0	53	2	0	0	5	46	0	0	0	0	0
SLC6A15	SLC6A15	XM_023631174.1	protein_coding	0	0	53	2	0	0	5	45	0	0	0	0	1
TMTC2	TMTC2	XM_001490789.5	protein_coding	4	0	876	9	3	3	18	836	0	0	0	1	10
TMTC2	TMTC2	XM_023631714.1	protein_coding	3	0	655	0	3	3	1	641	0	0	0	0	10
TMTC2	TMTC2	XM_023631715.1	protein_coding	3	0	581	0	3	3	8	560	0	0	0	0	10
TMTC2	TMTC2	XM_023631716.1	protein_coding	3	0	668	0	3	3	13	642	0	0	0	0	10
TMTC3	TMTC3	XM_001915050.5	protein_coding	0	0	135	0	0	1	2	125	0	0	0	0	7
TMTC3	TMTC3	XM_023631214.1	protein_coding	0	0	138	2	0	1	3	125	0	0	0	0	7
TMTC3	TMTC3	XM_023631215.1	protein_coding	0	0	112	2	0	0	3	100	0	0	0	0	7
TSPAN19	TSPAN19	XM_001915574.3	protein_coding	2	0	36	0	0	0	5	21	0	0	0	2	10
TSPAN19	TSPAN19	XM_023631415.1	protein_coding	2	0	36	0	0	0	5	21	0	0	0	2	10
TSPAN19	TSPAN19	XM_023631416.1	protein_coding	1	0	36	0	0	0	6	20	0	0	0	1	10
TSPAN19	TSPAN19	XM_023631417.1	protein_coding	2	0	36	0	0	0	5	21	0	0	0	2	10
