# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSECAG00000041104	ENSECAG00000041104	ENSECAT00000067968		0	0	136	0	0	12	114	0	0	0	0	10
ENSECAG00000042937	ENSECAG00000042937	ENSECAT00000078722		1	0	101	0	0	8	82	0	6	1	0	6
ENSECAG00000043517	ENSECAG00000043517	ENSECAT00000070597		0	0	29	0	0	4	10	0	0	0	0	15
ENSECAG00000043517	ENSECAG00000043517	ENSECAT00000074137		0	0	21	0	0	6	0	0	0	0	0	15
ENSECAG00000043680	ENSECAG00000043680	ENSECAT00000068987		0	0	42	0	0	15	15	0	1	0	0	11
KITLG	ENSECAG00000000152	ENSECAT00000000221	protein_coding	0	0	7	0	0	0	7	0	0	0	0	0
KITLG	ENSECAG00000000152	ENSECAT00000034663	protein_coding	0	0	22	0	0	0	7	0	0	0	0	15
KITLG	ENSECAG00000000152	ENSECAT00000055782	protein_coding	0	0	22	0	0	0	7	0	0	0	0	15
LIN7A	ENSECAG00000002823	ENSECAT00000003046	protein_coding	0	0	440	0	0	44	366	0	0	0	0	30
LIN7A	ENSECAG00000002823	ENSECAT00000055250	protein_coding	0	0	390	0	0	44	340	0	0	0	0	6
LRRIQ1	ENSECAG00000007701	ENSECAT00000007837	protein_coding	1	2	248	0	0	3	236	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000033472	protein_coding	1	2	250	0	0	2	239	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000035449	protein_coding	1	2	250	0	0	2	239	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000045053	protein_coding	1	1	251	0	0	2	240	1	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000045363	protein_coding	1	2	281	0	0	5	267	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000048070	protein_coding	1	2	250	0	0	2	239	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000050564	protein_coding	1	2	250	0	0	2	239	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000054760	protein_coding	1	2	250	0	0	2	239	2	0	0	1	9
LRRIQ1	ENSECAG00000007701	ENSECAT00000058693	protein_coding	1	2	277	1	0	2	265	2	0	0	1	9
METTL25	ENSECAG00000010894	ENSECAT00000011332	protein_coding	0	0	201	0	0	11	182	0	0	0	0	8
METTL25	ENSECAG00000010894	ENSECAT00000035528	protein_coding	0	1	191	0	0	3	180	1	0	0	0	8
METTL25	ENSECAG00000010894	ENSECAT00000036299	protein_coding	1	0	189	0	0	3	178	0	0	0	1	8
METTL25	ENSECAG00000010894	ENSECAT00000078035	protein_coding	0	1	191	0	0	3	180	1	0	0	0	8
MGAT4C	ENSECAG00000011971	ENSECAT00000055260	protein_coding	2	1	221	0	0	29	170	1	0	0	2	22
MYF5	ENSECAG00000020047	ENSECAT00000021416	protein_coding	0	1	19	0	0	8	3	1	0	0	0	8
MYF6	ENSECAG00000018919	ENSECAT00000020121	protein_coding	1	0	16	0	0	9	2	0	0	1	0	6
NTS	ENSECAG00000010879	ENSECAT00000011287	protein_coding	1	0	97	0	0	2	72	0	0	0	1	23
NTS	ENSECAG00000010879	ENSECAT00000071403	protein_coding	0	0	98	0	0	2	73	0	0	0	0	23
POC1B	ENSECAG00000013326	ENSECAT00000014152	protein_coding	0	1	168	0	0	11	150	1	0	0	0	7
PPFIA2	ENSECAG00000011682	ENSECAT00000012983	protein_coding	2	0	1135	0	0	16	1116	0	0	0	2	3
PPFIA2	ENSECAG00000011682	ENSECAT00000012992	protein_coding	2	0	1135	0	0	16	1119	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000032323	protein_coding	2	0	797	0	0	18	770	0	0	0	2	9
PPFIA2	ENSECAG00000011682	ENSECAT00000035392	protein_coding	2	0	1137	0	0	18	1119	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000039611	protein_coding	2	0	1125	0	0	14	1111	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000041967	protein_coding	2	0	1137	0	0	18	1119	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000058247	protein_coding	2	0	1125	0	0	14	1111	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000070071	protein_coding	2	0	1137	0	0	18	1119	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000074647	protein_coding	2	0	1137	0	0	18	1119	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000077257	protein_coding	2	0	1137	0	0	18	1119	0	0	0	2	0
PTPRQ	ENSECAG00000013221	ENSECAT00000014123	protein_coding	3	0	61	0	0	6	55	0	0	0	3	0
PTPRQ	ENSECAG00000013221	ENSECAT00000014127	protein_coding	3	0	61	0	0	6	55	0	0	0	3	0
RASSF9	ENSECAG00000002601	ENSECAT00000002434	protein_coding	0	0	89	0	0	9	53	0	0	0	0	27
SLC6A15	ENSECAG00000018897	ENSECAT00000047031	protein_coding	0	0	9	0	0	4	4	0	0	0	0	1
SLC6A15	ENSECAG00000018897	ENSECAT00000062101	protein_coding	0	0	53	0	0	7	45	0	0	0	0	1
TMTC2	ENSECAG00000014638	ENSECAT00000015432	protein_coding	1	1	868	0	0	19	842	1	0	0	1	7
TMTC2	ENSECAG00000014638	ENSECAT00000035533	protein_coding	1	0	718	0	0	19	686	0	0	0	1	13
TMTC2	ENSECAG00000014638	ENSECAT00000074756	protein_coding	1	0	485	0	1	4	473	0	0	1	1	7
TMTC3	ENSECAG00000020616	ENSECAT00000021950	protein_coding	0	0	109	0	0	2	99	0	0	0	0	8
TMTC3	ENSECAG00000020616	ENSECAT00000048144	protein_coding	0	0	108	1	0	2	97	0	0	0	0	8
TSPAN19	ENSECAG00000037294	ENSECAT00000039395	protein_coding	1	0	37	0	0	7	20	0	0	0	1	10
TSPAN19	ENSECAG00000037294	ENSECAT00000045443	protein_coding	2	0	36	0	0	5	21	0	0	0	2	10
TSPAN19	ENSECAG00000037294	ENSECAT00000052893	protein_coding	1	0	42	0	0	5	27	0	0	0	1	10
TSPAN19	ENSECAG00000037294	ENSECAT00000057878	protein_coding	1	0	89	0	0	7	72	0	0	0	1	10
U6	ENSECAG00000026764	ENSECAT00000028776	snRNA	0	0	4	0	0	2	0	0	1	0	0	1
U6	ENSECAG00000030991	ENSECAT00000027337	snRNA	0	0	17	0	0	7	0	0	0	0	0	10
