# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CEP290	CEP290	XM_023630994.1	protein_coding	2	1	187	0	0	1	8	159	1	0	0	2	19
CEP290	CEP290	XM_023630995.1	protein_coding	3	0	166	0	1	2	8	146	0	0	0	2	10
CEP290	CEP290	XM_023630996.1	protein_coding	2	1	145	0	0	1	8	117	1	0	0	2	19
DUSP6	DUSP6	XM_001491999.6	protein_coding	0	0	48	2	0	3	15	9	0	0	0	0	19
GALNT4	GALNT4	XM_005606501.3	protein_coding	0	0	35	5	0	0	23	0	0	0	0	0	7
LIN7A	LIN7A	XM_001490031.5	protein_coding	0	0	461	5	0	3	8	410	0	0	0	0	35
LIN7A	LIN7A	XM_023631553.1	protein_coding	0	0	383	5	0	0	8	366	0	0	0	0	4
LOC102150222	LOC102150222	XM_005606497.3	protein_coding	0	0	7	0	0	0	2	0	0	0	0	0	5
LOC106782684	LOC106782684	XR_001379944.2		0	0	46	0	0	0	5	25	0	0	0	0	16
LOC106782684	LOC106782684	XR_001379945.2		0	0	46	0	0	0	5	25	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804781.1		0	0	46	0	0	0	5	25	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804782.1		0	0	46	0	0	0	5	25	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804783.1		0	0	46	0	0	0	5	25	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804784.1		0	0	46	0	0	0	5	25	0	0	0	0	16
LOC106782684	LOC106782684	XR_002804785.1		0	0	46	0	0	0	5	25	0	0	0	0	16
LOC111771013	LOC111771013	XR_002804540.1		0	0	27	0	0	0	4	9	0	0	0	0	14
LOC111771021	LOC111771021	XR_002804560.1		1	0	29	0	0	0	8	10	0	0	1	0	12
LOC111771097	LOC111771097	XR_002804748.1		0	0	46	0	0	0	6	22	0	11	0	0	7
LOC111771107	LOC111771107	XR_002804764.1		1	0	41	0	0	0	8	29	0	2	1	0	3
LOC111771110	LOC111771110	XM_023631611.1	protein_coding	0	0	93	0	0	0	4	89	0	0	0	0	0
LOC111771111	LOC111771111	XR_002804768.1		0	0	163	0	0	0	6	153	0	0	0	0	4
LOC111771112	LOC111771112	XR_002804769.1		0	0	54	0	0	0	5	36	0	6	0	0	7
LOC111771112	LOC111771112	XR_002804770.1		0	0	31	0	0	0	5	7	0	3	0	0	16
LOC111771117	LOC111771117	XR_002804777.1		0	0	349	0	0	0	5	335	0	0	0	0	9
LOC111771120	LOC111771120	XR_002804786.1		0	0	131	0	0	0	5	115	0	4	0	0	7
LOC111771139	LOC111771139	XR_002804807.1		0	0	19	0	0	0	8	0	0	0	0	0	11
LOC111771141	LOC111771141	XR_002804809.1		0	0	4	0	0	0	2	0	0	1	0	0	1
LOC111771151	LOC111771151	XR_002804818.1		0	0	21	0	0	0	9	0	0	1	0	0	11
LRRIQ1	LRRIQ1	XM_023631397.1	protein_coding	1	2	255	2	0	0	3	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631398.1	protein_coding	1	2	255	2	0	0	3	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631399.1	protein_coding	1	2	255	2	0	0	3	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631400.1	protein_coding	1	1	256	2	0	0	3	249	1	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631401.1	protein_coding	1	2	253	2	0	0	3	240	2	0	0	1	8
LRRIQ1	LRRIQ1	XM_023631402.1	protein_coding	1	2	257	0	0	0	5	250	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631403.1	protein_coding	1	2	257	0	0	0	5	250	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631404.1	protein_coding	1	2	252	0	0	0	2	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631405.1	protein_coding	1	2	225	0	0	0	1	222	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631406.1	protein_coding	1	2	225	0	0	0	1	222	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631407.1	protein_coding	1	2	255	2	0	0	3	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631408.1	protein_coding	1	2	257	0	0	0	5	250	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631409.1	protein_coding	1	2	255	2	0	0	3	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631410.1	protein_coding	1	2	255	2	0	0	3	248	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631411.1	protein_coding	1	2	225	0	0	0	1	222	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631412.1	protein_coding	1	2	225	0	0	0	1	222	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631413.1	protein_coding	1	2	225	0	0	0	1	222	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631414.1	protein_coding	1	2	225	0	0	0	1	222	2	0	0	1	2
METTL25	METTL25	XM_014736735.2	protein_coding	0	0	207	0	0	0	23	176	0	0	0	0	8
METTL25	METTL25	XM_023631576.1	protein_coding	0	0	207	0	0	0	23	176	0	0	0	0	8
METTL25	METTL25	XM_023631577.1	protein_coding	0	0	207	0	0	0	23	176	0	0	0	0	8
METTL25	METTL25	XM_023631578.1	protein_coding	2	0	195	0	2	5	11	166	0	0	0	0	13
METTL25	METTL25	XR_002804755.1		0	0	319	0	0	0	3	259	0	49	0	0	8
METTL25	METTL25	XR_002804756.1		0	0	319	0	0	0	3	262	0	46	0	0	8
METTL25	METTL25	XR_002804757.1		0	0	319	0	0	0	3	259	0	49	0	0	8
METTL25	METTL25	XR_002804758.1		0	0	185	0	0	0	3	174	0	0	0	0	8
MGAT4C	MGAT4C	XM_023631364.1	protein_coding	3	1	979	1	0	1	35	942	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631365.1	protein_coding	3	1	939	1	0	1	35	902	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631366.1	protein_coding	3	1	979	1	0	0	35	943	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631367.1	protein_coding	3	1	979	1	0	0	35	943	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631368.1	protein_coding	5	1	154	1	2	18	35	56	1	0	1	2	44
MGAT4C	MGAT4C	XM_023631370.1	protein_coding	5	1	154	1	2	17	35	57	1	0	1	2	44
MGAT4C	MGAT4C	XM_023631371.1	protein_coding	4	1	181	1	1	2	35	127	1	0	1	2	16
MYF5	MYF5	NM_001302119.1	protein_coding	0	1	19	0	0	0	8	3	1	0	0	0	8
MYF6	MYF6	NM_001317257.1	protein_coding	1	0	16	0	0	0	9	2	0	0	1	0	6
NTS	NTS	XM_014736736.2	protein_coding	1	0	102	0	0	0	2	73	0	0	0	1	27
POC1B	POC1B	XM_014736738.2	protein_coding	0	1	127	3	0	0	9	112	1	0	0	0	3
POC1B	POC1B	XM_023631609.1	protein_coding	0	1	169	3	0	1	9	151	1	0	0	0	5
POC1B	POC1B	XM_023631610.1	protein_coding	0	1	169	3	0	1	9	151	1	0	0	0	5
PPFIA2	PPFIA2	XM_014736734.2	protein_coding	2	0	819	0	0	3	16	786	0	0	0	2	14
PPFIA2	PPFIA2	XM_023631673.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631674.1	protein_coding	2	0	1134	1	0	0	16	1117	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631675.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631676.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631677.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631678.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631679.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631680.1	protein_coding	2	0	1134	1	0	0	16	1117	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631681.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631683.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631684.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631685.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631686.1	protein_coding	2	0	1134	0	0	0	16	1118	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631687.1	protein_coding	2	0	819	0	0	3	16	786	0	0	0	2	14
PPFIA2	PPFIA2	XM_023631688.1	protein_coding	2	0	819	0	0	3	16	786	0	0	0	2	14
PPFIA2	PPFIA2	XM_023631689.1	protein_coding	2	0	819	0	0	3	16	786	0	0	0	2	14
PPFIA2	PPFIA2	XM_023631690.1	protein_coding	2	0	819	0	0	3	16	786	0	0	0	2	14
PTPRQ	PTPRQ	XM_023631053.1	protein_coding	3	0	66	1	0	0	6	59	0	0	0	3	0
RASSF9	RASSF9	XM_001491284.6	protein_coding	0	0	81	8	0	0	3	49	0	0	0	0	21
RASSF9	RASSF9	XM_023631106.1	protein_coding	0	0	80	8	0	0	3	48	0	0	0	0	21
SLC6A15	SLC6A15	XM_023631172.1	protein_coding	0	0	36	2	0	0	5	29	0	0	0	0	0
SLC6A15	SLC6A15	XM_023631173.1	protein_coding	0	0	36	2	0	0	5	29	0	0	0	0	0
SLC6A15	SLC6A15	XM_023631174.1	protein_coding	0	0	36	2	0	0	5	29	0	0	0	0	0
TMTC2	TMTC2	XM_001490789.5	protein_coding	4	0	851	9	3	3	18	813	0	0	0	1	8
TMTC2	TMTC2	XM_023631714.1	protein_coding	3	0	649	0	3	3	1	637	0	0	0	0	8
TMTC2	TMTC2	XM_023631715.1	protein_coding	3	0	577	0	3	3	9	557	0	0	0	0	8
TMTC2	TMTC2	XM_023631716.1	protein_coding	3	0	663	0	3	3	14	638	0	0	0	0	8
TMTC3	TMTC3	XM_001915050.5	protein_coding	0	0	133	0	0	1	2	125	0	0	0	0	5
TMTC3	TMTC3	XM_023631214.1	protein_coding	0	0	136	2	0	1	3	125	0	0	0	0	5
TMTC3	TMTC3	XM_023631215.1	protein_coding	0	0	113	2	0	0	3	101	0	0	0	0	7
TSPAN19	TSPAN19	XM_001915574.3	protein_coding	2	0	31	0	0	0	5	17	0	0	0	2	9
TSPAN19	TSPAN19	XM_023631415.1	protein_coding	2	0	31	0	0	0	5	17	0	0	0	2	9
TSPAN19	TSPAN19	XM_023631416.1	protein_coding	1	0	31	0	0	0	6	16	0	0	0	1	9
TSPAN19	TSPAN19	XM_023631417.1	protein_coding	2	0	31	0	0	0	5	17	0	0	0	2	9
