# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LRRIQ1	LRRIQ1	XM_023631400.1	protein_coding	1	1	236	2	0	0	3	229	1	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631401.1	protein_coding	1	2	233	2	0	0	3	219	2	0	0	1	9
LRRIQ1	LRRIQ1	XM_023631402.1	protein_coding	1	2	237	0	0	0	5	230	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631403.1	protein_coding	1	2	237	0	0	0	5	230	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631404.1	protein_coding	1	2	232	0	0	0	2	228	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631405.1	protein_coding	1	2	214	0	0	0	2	210	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631406.1	protein_coding	1	2	214	0	0	0	2	210	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631407.1	protein_coding	1	2	235	2	0	0	3	228	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631408.1	protein_coding	1	2	237	0	0	0	5	230	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631409.1	protein_coding	1	2	235	2	0	0	3	228	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631410.1	protein_coding	1	2	235	2	0	0	3	228	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631411.1	protein_coding	1	2	214	0	0	0	2	210	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631412.1	protein_coding	1	2	214	0	0	0	2	210	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631413.1	protein_coding	1	2	214	0	0	0	2	210	2	0	0	1	2
LRRIQ1	LRRIQ1	XM_023631414.1	protein_coding	1	2	214	0	0	0	2	210	2	0	0	1	2
METTL25	METTL25	XM_014736735.2	protein_coding	0	0	202	0	0	0	23	171	0	0	0	0	8
METTL25	METTL25	XM_023631576.1	protein_coding	0	0	202	0	0	0	23	171	0	0	0	0	8
METTL25	METTL25	XM_023631577.1	protein_coding	0	0	202	0	0	0	23	171	0	0	0	0	8
METTL25	METTL25	XM_023631578.1	protein_coding	2	0	190	0	2	5	11	160	0	0	0	0	14
METTL25	METTL25	XR_002804755.1		0	0	316	0	0	0	3	256	0	49	0	0	8
METTL25	METTL25	XR_002804756.1		0	0	316	0	0	0	3	259	0	46	0	0	8
METTL25	METTL25	XR_002804757.1		0	0	316	0	0	0	3	256	0	49	0	0	8
METTL25	METTL25	XR_002804758.1		0	0	180	0	0	0	3	169	0	0	0	0	8
MGAT4C	MGAT4C	XM_023631364.1	protein_coding	3	1	926	1	0	1	25	899	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631365.1	protein_coding	3	1	880	1	0	1	25	853	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631366.1	protein_coding	3	1	926	1	0	0	25	900	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631367.1	protein_coding	3	1	926	1	0	0	25	900	1	0	1	2	0
MGAT4C	MGAT4C	XM_023631368.1	protein_coding	5	1	139	1	2	17	25	52	1	0	1	2	44
MGAT4C	MGAT4C	XM_023631370.1	protein_coding	5	1	139	1	2	16	25	53	1	0	1	2	44
MGAT4C	MGAT4C	XM_023631371.1	protein_coding	4	1	166	1	1	2	25	122	1	0	1	2	16
MYF5	MYF5	NM_001302119.1	protein_coding	0	1	17	0	0	0	8	3	1	0	0	0	6
MYF6	MYF6	NM_001317257.1	protein_coding	1	0	14	0	0	0	7	2	0	0	1	0	6
NTS	NTS	XM_014736736.2	protein_coding	1	0	100	0	0	0	2	73	0	0	0	1	25
POC1B	POC1B	XM_014736738.2	protein_coding	0	1	115	3	0	0	9	100	1	0	0	0	3
POC1B	POC1B	XM_023631609.1	protein_coding	0	1	149	3	0	1	9	131	1	0	0	0	5
POC1B	POC1B	XM_023631610.1	protein_coding	0	1	149	3	0	1	9	131	1	0	0	0	5
PPFIA2	PPFIA2	XM_014736734.2	protein_coding	2	0	748	0	0	2	16	720	0	0	0	2	10
PPFIA2	PPFIA2	XM_023631673.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631674.1	protein_coding	2	0	1047	1	0	0	16	1030	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631675.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631676.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631677.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631678.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631679.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631680.1	protein_coding	2	0	1047	1	0	0	16	1030	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631681.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631683.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631684.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631685.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631686.1	protein_coding	2	0	1047	0	0	0	16	1031	0	0	0	2	0
PPFIA2	PPFIA2	XM_023631687.1	protein_coding	2	0	748	0	0	2	16	720	0	0	0	2	10
PPFIA2	PPFIA2	XM_023631688.1	protein_coding	2	0	748	0	0	2	16	720	0	0	0	2	10
PPFIA2	PPFIA2	XM_023631689.1	protein_coding	2	0	748	0	0	2	16	720	0	0	0	2	10
PPFIA2	PPFIA2	XM_023631690.1	protein_coding	2	0	748	0	0	2	16	720	0	0	0	2	10
PTPRQ	PTPRQ	XM_023631053.1	protein_coding	3	0	57	1	0	0	6	50	0	0	0	3	0
RASSF9	RASSF9	XM_001491284.6	protein_coding	0	0	73	8	0	0	3	49	0	0	0	0	13
RASSF9	RASSF9	XM_023631106.1	protein_coding	0	0	72	8	0	0	3	48	0	0	0	0	13
SLC6A15	SLC6A15	XM_023631172.1	protein_coding	0	0	37	2	0	0	5	29	0	0	0	0	1
SLC6A15	SLC6A15	XM_023631173.1	protein_coding	0	0	37	2	0	0	5	29	0	0	0	0	1
SLC6A15	SLC6A15	XM_023631174.1	protein_coding	0	0	37	2	0	0	5	29	0	0	0	0	1
TMTC2	TMTC2	XM_001490789.5	protein_coding	4	0	791	9	3	3	18	753	0	0	0	1	8
TMTC2	TMTC2	XM_023631714.1	protein_coding	3	0	588	0	3	3	1	576	0	0	0	0	8
TMTC2	TMTC2	XM_023631715.1	protein_coding	3	0	517	0	3	3	4	502	0	0	0	0	8
TMTC2	TMTC2	XM_023631716.1	protein_coding	3	0	601	0	3	3	13	577	0	0	0	0	8
TMTC3	TMTC3	XM_001915050.5	protein_coding	0	0	131	0	0	1	2	121	0	0	0	0	7
TMTC3	TMTC3	XM_023631214.1	protein_coding	0	0	134	2	0	1	3	121	0	0	0	0	7
TMTC3	TMTC3	XM_023631215.1	protein_coding	0	0	109	2	0	0	3	97	0	0	0	0	7
TSPAN19	TSPAN19	XM_001915574.3	protein_coding	2	0	32	0	0	0	5	17	0	0	0	2	10
TSPAN19	TSPAN19	XM_023631415.1	protein_coding	2	0	32	0	0	0	5	17	0	0	0	2	10
TSPAN19	TSPAN19	XM_023631416.1	protein_coding	1	0	32	0	0	0	6	16	0	0	0	1	10
TSPAN19	TSPAN19	XM_023631417.1	protein_coding	2	0	32	0	0	0	5	17	0	0	0	2	10
