# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MYF6	ENSECAG00000018919	ENSECAT00000020121	protein_coding	1	0	16	0	0	9	2	0	0	1	0	6
NTS	ENSECAG00000010879	ENSECAT00000011287	protein_coding	1	0	102	0	0	2	73	0	0	0	1	27
NTS	ENSECAG00000010879	ENSECAT00000071403	protein_coding	0	0	103	0	0	2	74	0	0	0	0	27
POC1B	ENSECAG00000013326	ENSECAT00000014152	protein_coding	0	1	167	0	0	10	151	1	0	0	0	6
PPFIA2	ENSECAG00000011682	ENSECAT00000012983	protein_coding	2	0	1134	0	0	16	1118	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000012992	protein_coding	2	0	1134	0	0	16	1118	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000032323	protein_coding	2	0	813	0	0	18	786	0	0	0	2	9
PPFIA2	ENSECAG00000011682	ENSECAT00000035392	protein_coding	2	0	1136	0	0	18	1118	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000039611	protein_coding	2	0	1124	0	0	15	1109	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000041967	protein_coding	2	0	1136	0	0	18	1118	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000058247	protein_coding	2	0	1124	0	0	15	1109	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000070071	protein_coding	2	0	1136	0	0	18	1118	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000074647	protein_coding	2	0	1136	0	0	18	1118	0	0	0	2	0
PPFIA2	ENSECAG00000011682	ENSECAT00000077257	protein_coding	2	0	1136	0	0	18	1118	0	0	0	2	0
PTPRQ	ENSECAG00000013221	ENSECAT00000014123	protein_coding	3	0	65	0	0	6	59	0	0	0	3	0
PTPRQ	ENSECAG00000013221	ENSECAT00000014127	protein_coding	3	0	65	0	0	6	59	0	0	0	3	0
RASSF9	ENSECAG00000002601	ENSECAT00000002434	protein_coding	0	0	79	0	0	9	49	0	0	0	0	21
SLC6A15	ENSECAG00000018897	ENSECAT00000047031	protein_coding	0	0	4	0	0	4	0	0	0	0	0	0
SLC6A15	ENSECAG00000018897	ENSECAT00000062101	protein_coding	0	0	36	0	0	7	29	0	0	0	0	0
TMTC2	ENSECAG00000014638	ENSECAT00000015432	protein_coding	1	1	843	0	0	19	817	1	0	0	1	7
TMTC2	ENSECAG00000014638	ENSECAT00000035533	protein_coding	1	0	701	0	0	19	676	0	0	0	1	6
TMTC2	ENSECAG00000014638	ENSECAT00000074756	protein_coding	1	0	475	0	1	5	462	0	0	1	1	7
TMTC3	ENSECAG00000020616	ENSECAT00000021950	protein_coding	0	0	110	0	0	2	100	0	0	0	0	8
TMTC3	ENSECAG00000020616	ENSECAT00000048144	protein_coding	0	0	109	1	0	2	98	0	0	0	0	8
TSPAN19	ENSECAG00000037294	ENSECAT00000039395	protein_coding	1	0	32	0	0	7	16	0	0	0	1	9
TSPAN19	ENSECAG00000037294	ENSECAT00000045443	protein_coding	2	0	31	0	0	5	17	0	0	0	2	9
TSPAN19	ENSECAG00000037294	ENSECAT00000052893	protein_coding	1	0	38	0	0	6	23	0	0	0	1	9
TSPAN19	ENSECAG00000037294	ENSECAT00000057878	protein_coding	1	0	80	0	0	4	67	0	0	0	1	9
U6	ENSECAG00000026764	ENSECAT00000028776	snRNA	0	0	4	0	0	2	0	0	1	0	0	1
U6	ENSECAG00000030991	ENSECAT00000027337	snRNA	0	0	19	0	0	8	0	0	0	0	0	11
